xxx,Epoch,Loss
Training,1223,169.7006
Training,1224,169.6871
Training,1225,169.778
Training,1226,169.718
Training,1227,169.6971
Training,1228,169.7206
Training,1229,169.6421
Training,1230,169.7625
Training,1231,169.7134
Training,1232,169.6935
Training,1233,169.736
Training,1234,169.6282
Training,1235,169.6744
Training,1236,169.6996
Training,1237,169.742
Training,1238,169.6047
Training,1239,169.6848
Training,1240,169.6134
Training,1241,169.6875
Training,1242,169.6417
Training,1243,169.6742
Training,1244,169.6953
Training,1245,169.7051
Training,1246,169.6774
Training,1247,169.7502
Training,1248,169.5945
Training,1249,169.6853
Training,1250,169.672
Training,1251,169.6033
Training,1252,169.6741
Training,1253,169.5947
Training,1254,169.6187
Training,1255,169.6864
Training,1256,169.5467
Training,1257,169.6352
Training,1258,169.6177
Training,1259,169.6438
Training,1260,169.606
Training,1261,169.5568
Training,1262,169.5929
Training,1263,169.563
Training,1264,169.5831
Training,1265,169.6103
Training,1266,169.6194
Training,1267,169.5995
Training,1268,169.5388
Training,1269,169.5443
Training,1270,169.5865
Training,1271,169.6029
Training,1272,169.5737
Training,1273,169.536
Training,1274,169.5247
Training,1275,169.7082
Training,1276,169.4834
Training,1277,169.5587
Training,1278,169.5353
Training,1279,169.5881
Training,1280,169.5404
Training,1281,169.4834
Training,1282,169.5891
Training,1283,169.5101
Training,1284,169.5965
Training,1285,169.4736
Training,1286,169.6156
Training,1287,169.5275
Training,1288,169.537
Training,1289,169.535
Training,1290,169.5183
Training,1291,169.4714
Training,1292,169.4787
Training,1293,169.4644
Training,1294,169.47
Training,1295,169.4766
Training,1296,169.4358
Training,1297,169.3988
Training,1298,169.4708
Training,1299,169.4584
Training,1300,169.5234
Training,1301,169.4422
Training,1302,169.4461
Training,1303,169.427
Training,1304,169.4774
Training,1305,169.405
Training,1306,169.4946
Training,1307,169.3909
Training,1308,169.4566
Training,1309,169.4438
Training,1310,169.4337
Training,1311,169.448
Training,1312,169.4189
Training,1313,169.4256
Training,1314,169.4593
Training,1315,169.451
Training,1316,169.3789
Training,1317,169.4363
Training,1318,169.4102
Training,1319,169.3809
Training,1320,169.398
Training,1321,169.416
Training,1322,169.5626
Training,1323,169.4244
Training,1324,169.4953
Training,1325,169.3898
Training,1326,169.4146
Training,1327,169.3991
Training,1328,169.3627
Training,1329,169.4438
Training,1330,169.2795
Training,1331,169.3089
Training,1332,169.28
Training,1333,169.3275
Training,1334,169.3118
Training,1335,169.3318
Training,1336,169.3753
Training,1337,169.4118
Training,1338,169.3834
Training,1339,169.3378
Training,1340,169.3209
Training,1341,169.2481
Training,1342,169.2916
Training,1343,169.3944
Training,1344,169.2866
Training,1345,169.3559
Training,1346,169.339
Training,1347,169.3258
Training,1348,169.2256
Training,1349,169.3181
Training,1350,169.305
Training,1351,169.3552
Training,1352,169.3768
Training,1353,169.265
Training,1354,169.3257
Training,1355,169.3794
Training,1356,169.3834
Training,1357,169.3629
Training,1358,169.2694
Training,1359,169.2845
Training,1360,169.2565
Training,1361,169.2971
Training,1362,169.2857
Training,1363,169.2165
Training,1364,169.3174
Training,1365,169.21
Training,1366,169.1957
Training,1367,169.2702
Training,1368,169.2802
Training,1369,169.2257
Training,1370,169.2789
Training,1371,169.2387
Training,1372,169.2232
Training,1373,169.2148
Training,1374,169.2509
Training,1375,169.1375
Training,1376,169.2323
Training,1377,169.2108
Training,1378,169.196
