epoch,training_loss,testing_loss,accuracy
477,96.4562,98.063,0.989
478,96.4415,98.0415,0.989
479,96.4338,98.0618,0.986
480,96.4238,97.94,0.99
481,96.4227,98.035,0.985
482,96.4342,98.0071,0.988
483,96.4156,97.9143,0.986
484,96.3969,97.9214,0.989
485,96.399,97.9941,0.991
486,96.3948,97.9369,0.99
487,96.3669,97.9263,0.986
488,96.3822,97.9477,0.982
489,96.3757,97.969,0.988
490,96.3721,97.9008,0.989
491,96.3624,97.9074,0.991
492,96.349,97.9058,0.987
493,96.3566,97.9324,0.996
494,96.3357,97.9175,0.987
495,96.3331,98.0204,0.986
496,96.3155,98.0086,0.988
497,96.3075,97.9498,0.99
498,96.3247,97.8998,0.989
499,96.3091,97.9236,0.982
